№ заказа,Дата поступления заказа,Название товара в Kaspi Магазине,Название в системе продавца,Артикул,Сумма,Категория,Адрес самовывоза/доставки,Дата изменения статуса,Статус,Причина отмены,Способ оплаты,Способ доставки,Курьерская служба,Принял,Выдал,Отменил,Оценка покупателя,Отзыв покупателя,Дата публикации отзыва,Оформил,Количество,Стоимость доставки для покупателя,Стоимость доставки для продавца,Компенсация за доставку,Требуется подписание,Плановая дата передачи курьеру,Фактическая дата комплектации,Склад передачи КД
980543928,29.06.2026,Термометр электронный 2514-6 1 шт,кулинарный термометр,108479520_45651153132,615,Аксессуары для готовки,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,811.0,,Не требуется,30.06.2026,,30397554_PP2
980057477,29.06.2026,Коврик Коврик в палатку 200x200 см,коврик в палатку,112806580_84561215631,1898,Туристические коврики,г. Жезказган,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980754813,30.06.2026,Ремень-подтяжка 17066133 1 шт,подтяжки для одеяла 6 конечные,116097085_213123,957,Крепеж для постельного белья,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980945927,30.06.2026,627185 черный,кобура,132997045_6548392935,797,Кобуры для оружия,г. Бауржан Момышулы (Жамб.Обл.),30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980699050,30.06.2026,17837347_869240098 500 см,гирлянда пчелка,138992227_567388929,1490,Уличное освещение,г. Семей,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980775851,30.06.2026,Держатель для очков 536904131 черный 7 см,держатель очков hyundai,119220282_1356487956341,999,Держатели для очков,г. Косшы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980268718,29.06.2026,Арқар сақа асык солақай профессиональный,асык левша,129253673_67308420507,7500,Аксессуары и тренажеры для спортивных игр,г. Темиртау,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,927.0,,Не требуется,30.06.2026,,30397554_PP2
980436917,29.06.2026,"Сетка Сетка для пиццы, алюминий",сетка для пиццы,140107020_56745235578,8870,Посуда и формы для выпечки и запекания,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,5,0.0,811.0,,Не требуется,30.06.2026,,30397554_PP2
980485151,29.06.2026,Силиконовые носочки от трещин 35-40 1 шт,силиконовые носки,128315710_231123312,400,Расходные материалы для маникюра и педикюра,г. Талдыкорган,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980551731,29.06.2026,"Часы электронные 16157146_685_ часы будильник, пластик",часы электронные белые,138955082_4545612336,910,Настольные часы,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980495153,29.06.2026,17837347_869240098 500 см,гирлянда пчелка,138992227_567388929,1490,Уличное освещение,г. Шымкент,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980429992,29.06.2026,"Ножницы кухонные СЕН ҮШІН 1 шт, нержавеющая сталь",кухонные ножницы золото,118067916_123123132,1247,Кухонные инструменты,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980198375,29.06.2026,17837347_869240098 500 см,гирлянда пчелка,138992227_567388929,1490,Уличное освещение,г. Аягоз,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980547457,29.06.2026,Мольберт Объектив для рисования по проекции Телефон/планшет Анти-ghosting Для начинающих черный,оптический экран для рисования большой,154629606_77845387428,1349,Развивающие игрушки,г. Тараз,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980932015,30.06.2026,Картхолдер экокожа чёрный,картхолдер,121263817_3865833253,499,Кошельки и визитницы,г. Караганда,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980962627,30.06.2026,"Ароматическая свеча Лаванда 4 см, 1 шт",ароматическая свеча лаванда Scented Candle,142282688_415645641,569,Свечи для дома,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980372815,29.06.2026,Зажим _Набор держателей для простыни 12 шт,зажим для простыней трубы,146289741_79798089,711,Крепеж для постельного белья,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980843678,30.06.2026,245903510 для Hyundai универсальная универсальный черный,черная наклейка hyunday,129920263_312123123,1300,Защитные накладки,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980028866,29.06.2026,"Держатель 02G 2 шт, нержавеющая сталь",крючки на присосках черные 2 шт,147867423_7573289858,2101,Держатели и крючки для ванной,г. Аксай,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980839301,30.06.2026,"Ночник в розетку Warm White, пластик",ночник в розетку,123582478_89456184651,577,Ночники и декоративные светильники,г. Актобе,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980072368,29.06.2026,Мама и малыш Шлем защитный 00689 серый,шлем младенца,104486446_958765498,960,Защита на прогулке и дома,г. Житикара,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980426279,29.06.2026,"Корзина 6926735020158 31x19x18 см, пластик, силикон",силиконовая корзинка,122237870_85748792357,1789,"Коробки, ящики и корзины для хранения",г. Шымкент,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980517750,29.06.2026,Футляр для зубной щетки пластик 1 шт,футляр зубной щетки bdo (БЕЛЫЙ),115781235_893242334635,988,Аксессуары для зубных щеток,г. Караганда,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980025064,29.06.2026,Пароварка-вкладыш 30448847_MR3-025 1 шт,пароварка-вкладыш,159816248_657482932,902,Аксессуары для готовки,г. Актобе,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980719234,30.06.2026,"Шлепанцы 480505333 белый 36, 37",Тапки с мишкой,121706062_1235856964,1696,Женские шлепанцы,г. Актобе,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980020237,29.06.2026,"Сетка Сетка для пиццы, алюминий",сетка для пиццы,140107020_56745235578,5328,Посуда и формы для выпечки и запекания,г. Жаркент,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,3,0.0,927.0,,Не требуется,30.06.2026,,30397554_PP2
980121779,29.06.2026,ультрафиолетовый 3в1,уф фонарик,116264896_65374374342,1750,Туристические фонари,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980649040,30.06.2026,Силиконовые носочки от трещин 35-40 1 шт,силиконовые носки,128315710_231123312,800,Расходные материалы для маникюра и педикюра,г. Павлодар,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980107992,29.06.2026,Пол Premier Fishing PR-P-2x2,коврик в палатку,115432936_006862053,1898,Аксессуары для палаток и туристических шатров,г. Актау,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980048680,29.06.2026,Коврик Коврик в палатку 200x200 см,коврик в палатку,112806580_84561215631,1898,Туристические коврики,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,995.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980709438,30.06.2026,Happy Mums blockroz03 Заглушки на розетку,заглушки бело-голубые,102917350_6545615285,328,Защитные устройства для мебели,г. Аксу (Павлод.обл),30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980091065,29.06.2026,Коврик 30382586_Коврик в палатку фальгинированный 200x200 см,коврик в палатку,141996227_890909890,1898,Туристические коврики,г. Актау,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980551282,29.06.2026,"Мягкая игрушка Sprunki Грэй СПРУНКИ, 20 см, серый",спрунки плющ серый грэй,131508390_4785475894,898,Мягкие игрушки,г. Костанай,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980551282,29.06.2026,"Мягкая игрушка Sprunki Пинки, высота 20 см, розовый",спрунки плющ розовый пинки,131508774_5747758745,999,Мягкие игрушки,г. Костанай,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980134823,29.06.2026,"634592785, пластик",мини сейф черный пластик,634592785,2000,Ключницы настенные,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980912538,30.06.2026,VL 1750 накладка на ремень безопасности,накладка на ремень,129320796_67577983652,1747,Аксессуары для автокресел,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980284958,29.06.2026,"Набор мисок 612934551 5 шт, нержавеющая сталь, силикон",салатница с теркой,118016984_678976676,13976,"Блюда, миски и салатники",г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,1275.0,,Не требуется,30.06.2026,,30397554_PP2
980176647,29.06.2026,"Дождевик YH140312 48, 52",Дождевик серый,135932817_272882939,791,Одежда и обувь для рыбалки,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980824151,30.06.2026,"Сервировочный коврик Сервировочная салфетка 43x29.5 см, ПВХ",сервировочный коврик,161071253_684792937,8964,Скатерти и сервировочные коврики,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,6,0.0,811.0,,Не требуется,30.06.2026,,30397554_PP2
980635927,30.06.2026,Клипса 144895 4 шт,клипса для простыней черные,114152372_54123123132,960,Крепеж для постельного белья,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980498229,29.06.2026,"Ночник в розетку Warm White, пластик",ночник в розетку,123582478_89456184651,577,Ночники и декоративные светильники,г. Семей,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980189033,29.06.2026,"Когтерез-ножницы, вид животного: кошки, собаки",когтерезка,133884877_575284025,773,Когтерезы и пилки для животных,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980188522,29.06.2026,Наклейка 042437523 15x10 см,наклейка на зеркало,120809125_322232112,491,Пленки и наклейки для автомобилей,г. Костанай,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980012851,29.06.2026,Коврик Коврик в палатку 200x200 см,коврик в палатку,112806580_84561215631,1897,Туристические коврики,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,995.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980386447,29.06.2026,"ShopMax декоративный светильник sunset projection lamp, пластик, стекло",лампа для блога,104701785_8745146531,1699,Ночники и декоративные светильники,г. Караганда,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,995.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980296356,29.06.2026,Держатель для очков FEYS-0022 красный 86 см,держатель очков бордо,136890679_6734788934,786,Держатели для очков,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
981059232,30.06.2026,Подследники 30281421_548300444 1 пара бежевый 35-40,подследники,123055157_5758374954,1068,Женские носки,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980237152,29.06.2026,"Форма Форма для сырков,сырных палочек,суфле, первого прикорма, силикон",силиконовая формочка для сосисок,138269054_5674849922,580,Посуда и формы для выпечки и запекания,г. Темиртау,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980472385,29.06.2026,"Наклейка на тело 150 шт 3 мм, 4 мм, 5 мм, 6 мм",пирсинг 150 шт,132626624_5745930593,841,Временные тату,г. Айтеке Би,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
979954171,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Еркинкала,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
981006182,30.06.2026,Органайзер 174823 бежевый,Органайзер на козырек бежевый,120058498_313212331,1388,Автомобильные органайзеры,г. Косшы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980210979,29.06.2026,"J0101Q, металл, стекло",Набор мельниц,123900431_5414123312,4994,Мельницы,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,500.0,231.0,,Не требуется,30.06.2026,,30397554_PP2
979994130,29.06.2026,Наборы для слепков голубой,набор для слепка синий,123554737_854313,7499,Наборы для создания слепков,г. Гульдала,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,927.0,,Не требуется,30.06.2026,,30397554_PP2
980062416,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Атырау,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980220375,29.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1570,Малая косметологическая техника,г. Аркалык,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980199506,29.06.2026,Набор для алмазной мозаики,Набор для алмазной мозаики,122051113_43298032,3181,Инструменты для алмазной мозаики,г. Актобе,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,231.0,,Не требуется,30.06.2026,,30397554_PP2
980705868,30.06.2026,"ShopMax декоративный светильник sunset projection lamp, пластик, стекло",лампа для блога,104701785_8745146531,1699,Ночники и декоративные светильники,г. Павлодар,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980144206,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Тараз,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980705688,30.06.2026,"Держатель для фена с клейкой основой 8754 1 шт, черный, металл",держатель фена,109268240_454683213,637,Держатели и крючки для ванной,г. Актобе,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980029402,29.06.2026,Подследники 30281421_548300444 1 пара бежевый 35-40,подследники,123055157_5758374954,534,Женские носки,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980965669,30.06.2026,Ветрозащитный экран APQ030-2,ветрозащитный экран,119939163_6548092845,2021,Аксессуары для туристических горелок,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980195840,29.06.2026,Стразы 30104025_246024699 300 шт,стразы для тела,157516094_6948768300,1914,Стразы и бусины,г. Павлодар,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980099072,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Деркуль,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980999519,30.06.2026,Зеркало с подсветкой на козырек автомобиля,зеркало черное,064039186,2122,Прочие аксессуары для автомобиля,г. Атбасар,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980537569,29.06.2026,Рулон LOVE 500 шт,наклейки рулон love,136964175_179841652,476,Наклейки для творчества,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980560696,29.06.2026,Зеркало с подсветкой на козырек автомобиля,зеркало черное,064039186,2157,Прочие аксессуары для автомобиля,г. Усть-Каменогорск,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980712042,30.06.2026,Фритюрница нержавеющая сталь 30406780_186965499 серебристый,фритюрница без подставки,155101484_12654564561,2299,Фритюрницы,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
979948619,29.06.2026,"Брелок Брелок Keychain spinner 1 пластик, металл 1 шт",брелок спинер,117848532_753835622,1276,Брелоки и ключницы,г. Темиртау,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980795858,30.06.2026,"Бутылка Банка с дозатором и силиконовой кисточкой, форма утки, для масла, маринада, соусов, силикон, стекло",банка уточка лэппэгэр,141974900_23123123,1238,Емкости для хранения продуктов,г. Ерейментау,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980292376,29.06.2026,"18679658_521163, увеличение x10, зеленый, оранжевый",лупа х10,115032741_564654652,1630,Лупы,г. Петропавловск,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980164813,29.06.2026,Happy Mums blockroz03 Заглушки на розетку,заглушки бело-голубые,102917350_6545615285,328,Защитные устройства для мебели,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980842860,30.06.2026,TP300 белый,кулинарный термометр,117220385_8987809,615,Термощупы,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980330192,29.06.2026,Ремень-подтяжка 17066133 1 шт,подтяжки для одеяла 6 конечные,116097085_213123,957,Крепеж для постельного белья,г. Караганда,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980956835,30.06.2026,Комплект для взбивания белый,вспениватель,116411803_456123123,1254,Электрические вспениватели молока,г. Актобе,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980416879,29.06.2026,"CAT Набор зубная паста, щетка двусторонняя, напальчник 609479 3 предмета",зубная паста для котят,109523171_8657577457,1400,Зубные щетки для животных,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980842993,30.06.2026,"Панама D_4879 размер универсальный, синий",детская панамка синяя,119408939_6784857253,1216,Головные уборы,г. Атырау,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980372240,29.06.2026,"BIO SPA GDS-NB518-2, металл",Сушилка белья,103497148_272828929,3593,Сушилки для белья,г. Астана,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,231.0,,Не требуется,30.06.2026,,30397554_PP2
980967339,30.06.2026,Держатель для очков FEYS-0022 красный 86 см,держатель очков бордо,136890679_6734788934,768,Держатели для очков,г. Актау,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980369596,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980519397,29.06.2026,Форма для варки яиц пашот 383380 5 шт,форма для пашот,112907807_45123123,1148,Аксессуары для готовки,г. Экибастуз,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
979925308,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980655956,30.06.2026,"456017032, пластик",пепельница унитаз белая,120175000_155624893,770,Пепельницы,г. Караганда,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980450396,29.06.2026,"Наклейка на тело 150 шт 3 мм, 4 мм, 5 мм, 6 мм",пирсинг 150 шт,132626624_5745930593,841,Временные тату,г. Сатпаев,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,30.06.2026,,30397554_PP2
980386433,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Жанаарка,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980019893,29.06.2026,Коврик Коврик в палатку 200x200 см,коврик в палатку,112806580_84561215631,18980,Туристические коврики,г. Алматы,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,10,0.0,1507.0,,Не требуется,30.06.2026,,30397554_PP2
980686539,30.06.2026,"ShopMax декоративный светильник sunset projection lamp, пластик, стекло",лампа для блога,104701785_8745146531,1699,Ночники и декоративные светильники,г. Шымкент,30.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
980222399,29.06.2026,"Панама D_4879 размер универсальный, синий",детская панамка синяя,119408939_6784857253,1218,Головные уборы,г. Тараз,30.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,30.06.2026,,30397554_PP2
